"_id","group","item","_label","dist"
52080,3504,323,contains,
52081,3645,324,contains,
52082,3643,325,contains,
52083,3484,326,contains,
52084,3527,327,contains,
52085,3498,328,contains,
52086,3498,329,contains,
52087,3596,330,contains,
52088,3572,331,contains,
52089,3566,332,contains,
52090,3566,333,contains,
52091,3576,334,contains,
52092,3532,335,contains,
52093,3540,336,contains,
52094,3464,337,contains,
52095,3591,338,contains,
52096,3612,339,contains,
52097,3506,340,contains,
52098,3506,341,contains,
52099,3644,342,contains,
52100,3473,343,contains,
52101,3498,344,contains,
52102,3427,345,contains,
52103,3597,346,contains,
52104,3591,347,contains,
52105,3543,348,contains,
52106,3438,349,contains,
52107,3438,350,contains,
52108,3619,351,contains,
52109,3649,352,contains,
52110,3523,353,contains,
52111,3558,354,contains,
52112,3611,355,contains,
52113,3647,356,contains,
52114,3647,357,contains,
52115,3647,358,contains,
52116,3647,359,contains,
52117,3466,360,contains,
52118,3647,361,contains,
52119,3647,362,contains,
52120,3647,363,contains,
52121,3647,364,contains,
52122,3561,365,contains,
52123,3561,366,contains,
52124,3561,367,contains,
52125,3647,368,contains,
52126,3561,369,contains,
52127,3647,370,contains,
52128,3647,371,contains,
52129,3442,372,contains,
52130,3647,373,contains,
52131,3647,374,contains,
52132,3647,375,contains,
52133,3647,376,contains,
52134,3647,377,contains,
52135,3647,378,contains,
52136,3647,379,contains,
52137,3561,380,contains,
52138,3647,381,contains,
52139,3647,382,contains,
52140,3647,383,contains,
52141,3647,384,contains,
52142,3647,385,contains,
52143,3647,386,contains,
52144,3647,387,contains,
52145,3647,388,contains,
52146,3561,389,contains,
52147,3647,390,contains,
52148,3647,391,contains,
52149,3647,392,contains,
52150,3647,393,contains,
52151,3647,394,contains,
52152,3647,395,contains,
52153,3647,396,contains,
52154,3647,397,contains,
52155,3647,398,contains,
52156,3647,399,contains,
52157,3647,400,contains,
52158,3647,401,contains,
52159,3647,402,contains,
52160,3469,403,contains,
52161,3647,404,contains,
52162,3647,405,contains,
52163,3647,406,contains,
52164,3647,407,contains,
52165,3647,408,contains,
52166,3561,409,contains,
52167,3647,410,contains,
52168,3647,411,contains,
52169,3647,412,contains,
52170,3561,413,contains,
52171,3561,414,contains,
52172,3641,415,contains,
52173,3647,416,contains,
52174,3582,417,contains,
52175,3561,418,contains,
52176,3647,419,contains,
52177,3488,420,contains,
52178,3647,421,contains,
52179,3561,422,contains,
52180,3647,423,contains,
52181,3561,424,contains,
52182,3647,425,contains,
52183,3647,426,contains,
52184,3561,427,contains,
52185,3647,428,contains,
52186,3647,429,contains,
52187,3647,430,contains,
52188,3647,431,contains,
52189,3561,432,contains,
52190,3433,433,contains,
52191,3602,434,contains,
52192,3647,435,contains,
52193,3647,436,contains,
52194,3647,437,contains,
52195,3647,438,contains,
52196,3459,439,contains,
52197,3647,440,contains,
52198,3647,441,contains,
52199,3584,442,contains,
52200,3647,443,contains,
52201,3647,444,contains,
52202,3647,445,contains,
52203,3647,446,contains,
52204,3647,447,contains,
52205,3647,448,contains,
52206,3647,449,contains,
52207,3647,450,contains,
52208,3645,451,contains,
52209,3645,452,contains,
52210,3433,453,contains,
52211,3506,454,contains,
52212,3579,455,contains,
52213,3653,456,contains,
52214,3630,457,contains,
52215,3529,458,contains,
52216,3480,459,contains,
52217,3628,460,contains,
52218,3525,461,contains,
52219,3619,462,contains,
52220,3527,463,contains,
52221,3484,464,contains,
52222,3498,465,contains,
52223,3498,466,contains,
52224,3498,467,contains,
52225,3441,468,contains,
52226,3484,469,contains,
52227,3498,470,contains,
52228,3535,471,contains,
52229,3424,472,contains,
52230,3484,473,contains,
52231,3484,474,contains,
52232,3645,475,contains,
52233,3645,476,contains,
52234,3524,477,contains,
52235,3480,478,contains,
52236,3579,479,contains,
52237,3579,480,contains,
52238,3579,481,contains,
52239,3590,482,contains,
52240,3545,483,contains,
52241,3619,484,contains,
52242,3619,485,contains,
52243,3619,486,contains,
52244,3566,487,contains,
52245,3566,488,contains,
52246,3458,489,contains,
52247,3458,490,contains,
52248,3487,491,contains,
52249,3487,492,contains,
52250,3423,493,contains,
52251,3476,494,contains,
52252,3619,495,contains,
52253,3619,496,contains,
52254,3619,497,contains,
52255,3619,498,contains,
52256,3498,499,contains,
52257,3498,500,contains,
52258,3498,501,contains,
52259,3498,502,contains,
52260,3498,503,contains,
52261,3506,504,contains,
52262,3506,505,contains,
52263,3506,506,contains,
52264,3506,507,contains,
52265,3506,508,contains,
52266,3506,509,contains,
52267,3506,510,contains,
52268,3527,511,contains,
52269,3527,512,contains,
52270,3527,513,contains,
52271,3527,514,contains,
52272,3591,515,contains,
52273,3639,516,contains,
52274,3639,517,contains,
52275,3639,518,contains,
52276,3639,519,contains,
52277,3563,520,contains,
52278,3638,521,contains,
52279,3440,522,contains,
52280,3554,523,contains,
52281,3484,524,contains,
52282,3647,525,contains,
52283,3647,526,contains,
52284,3647,527,contains,
52285,3647,528,contains,
52286,3647,529,contains,
52287,3647,530,contains,
52288,3647,531,contains,
52289,3484,532,contains,
52290,3484,533,contains,
52291,3645,534,contains,
52292,3645,535,contains,
52293,3645,536,contains,
52294,3645,537,contains,
52295,3645,538,contains,
52296,3645,539,contains,
52297,3579,540,contains,
52298,3590,541,contains,
52299,3626,542,contains,
52300,3626,543,contains,
52301,3619,544,contains,
52302,3566,545,contains,
52303,3458,546,contains,
52304,3598,547,contains,
52305,3632,548,contains,
52306,3647,549,contains,
52307,3619,550,contains,
52308,3506,551,contains,
52309,3506,552,contains,
52310,3506,553,contains,
52311,3527,554,contains,
52312,3618,555,contains,
52313,3639,556,contains,
52314,3639,557,contains,
52315,3483,558,contains,
52316,3474,559,contains,
52317,3474,560,contains,
52318,3609,561,contains,
52319,3522,562,contains,
52320,3486,563,contains,
52321,3610,564,contains,
52322,3532,565,contains,
52323,3503,566,contains,
52324,3464,567,contains,
52325,3464,568,contains,
52326,3592,569,contains,
52327,3647,570,contains,
52328,3647,571,contains,
52329,3483,572,contains,
52330,3483,573,contains,
52331,3483,574,contains,
52332,3516,575,contains,
52333,3561,576,contains,
52334,3574,577,contains,
52335,3515,578,contains,
52336,3460,579,contains,
52337,3460,580,contains,
52338,3436,581,contains,
52339,3436,582,contains,
52340,3450,583,contains,
52341,3450,584,contains,
52342,3450,585,contains,
52343,3450,586,contains,
52344,3450,587,contains,
52345,3450,588,contains,
52346,3450,589,contains,
52347,3585,590,contains,
52348,3466,591,contains,
52349,3466,592,contains,
52350,3466,593,contains,
52351,3466,594,contains,
52352,3446,595,contains,
52353,3651,596,contains,
52354,3651,597,contains,
52355,3514,598,contains,
52356,3556,599,contains,
52357,3509,600,contains,
52358,3507,601,contains,
52359,3652,602,contains,
52360,3601,603,contains,
52361,3613,604,contains,
52362,3647,605,contains,
52363,3483,606,contains,
52364,3592,607,contains,
52365,3647,608,contains,
52366,3647,609,contains,
52367,3647,610,contains,
52368,3647,611,contains,
52369,3647,612,contains,
52370,3647,613,contains,
52371,3647,614,contains,
52372,3647,615,contains,
52373,3647,616,contains,
52374,3647,617,contains,
52375,3647,618,contains,
52376,3647,619,contains,
52377,3647,620,contains,
52378,3647,621,contains,
52379,3647,622,contains,
52380,3647,623,contains,
52381,3647,624,contains,
52382,3647,625,contains,
52383,3647,626,contains,
52384,3647,627,contains,
52385,3647,628,contains,
52386,3647,629,contains,
52387,3647,630,contains,
52388,3647,631,contains,
52389,3647,632,contains,
52390,3647,633,contains,
52391,3647,634,contains,
52392,3524,635,contains,
52393,3590,636,contains,
52394,3590,637,contains,
52395,3500,638,contains,
52396,3647,639,contains,
52397,3647,640,contains,
52398,3606,641,contains,
52399,3425,642,contains,
52400,3555,643,contains,
52401,3534,644,contains,
52402,3534,645,contains,
52403,3570,646,contains,
52404,3647,647,contains,
52405,3647,648,contains,
52406,3459,649,contains,
52407,3647,650,contains,
52408,3647,651,contains,
52409,3459,652,contains,
52410,3545,653,contains,
52411,3520,654,contains,
52412,3520,655,contains,
52413,3520,656,contains,
52414,3597,657,contains,
52415,3453,658,contains,
52416,3520,659,contains,
52417,3619,660,contains,
52418,3498,661,contains,
52419,3520,662,contains,
52420,3520,663,contains,
52421,3520,664,contains,
52422,3464,665,contains,
52423,3529,666,contains,
52424,3636,667,contains,
52425,3464,668,contains,
52426,3464,669,contains,
52427,3551,670,contains,
52428,3464,671,contains,
52429,3464,672,contains,
52430,3464,673,contains,
52431,3464,674,contains,
52432,3464,675,contains,
52433,3464,676,contains,
52434,3464,677,contains,
52435,3464,678,contains,
52436,3464,679,contains,
52437,3529,680,contains,
52438,3529,681,contains,
52439,3529,682,contains,
52440,3529,683,contains,
52441,3529,684,contains,
52442,3529,685,contains,
52443,3529,686,contains,
52444,3529,687,contains,
52445,3594,688,contains,
52446,3594,689,contains,
52447,3529,690,contains,
52448,3578,691,contains,
52449,3586,692,contains,
52450,3560,693,contains,
52451,3635,694,contains,
52452,3635,695,contains,
52453,3635,696,contains,
52454,3635,697,contains,
52455,3635,698,contains,
52456,3653,699,contains,
52457,3452,700,contains,
52458,3588,701,contains,
52459,3564,702,contains,
52460,3547,703,contains,
52461,3521,704,contains,
52462,3551,705,contains,
52463,3588,706,contains,
52464,3551,707,contains,
52465,3588,708,contains,
52466,3456,709,contains,
52467,3597,710,contains,
52468,3597,711,contains,
52469,3464,712,contains,
52470,3464,713,contains,
52471,3464,714,contains,
52472,3551,715,contains,
52473,3551,716,contains,
52474,3551,717,contains,
52475,3551,718,contains,
52476,3551,719,contains,
52477,3551,720,contains,
52478,3551,721,contains,
52479,3646,722,contains,
52480,3656,723,contains,
52481,3520,724,contains,
52482,3520,725,contains,
